timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
41.707,0.3323,1.1746,0.3071,-0.8163,-0.1504,0.5577,1.000,1.000,0.3341,1001.1730,0.3024,1.665,306.912,0.520,4.177,5.191,1,1
41.731,0.3323,1.1746,0.3071,-0.7894,-0.1681,0.5905,1.000,1.000,0.3341,1001.1730,0.3024,1.656,306.904,0.525,4.185,5.260,1,1
41.749,0.3323,1.1746,0.3071,-0.7894,-0.1681,0.5905,1.000,1.000,0.3341,1001.1730,0.3024,1.653,306.882,0.546,4.185,5.260,1,1
41.755,0.3323,1.1745,0.3070,-0.7734,-0.1901,0.6047,1.000,1.000,0.3341,1001.1720,0.3023,1.693,306.873,0.574,4.399,5.314,1,1
41.762,0.3324,1.1744,0.3070,-0.7744,-0.2122,0.5960,1.000,1.000,0.3341,1001.1720,0.3023,1.732,306.872,0.555,4.527,5.336,1,1
41.780,0.3324,1.1744,0.3070,-0.7744,-0.2122,0.5960,1.000,1.000,0.3341,1001.1720,0.3023,1.747,306.871,0.576,4.527,5.336,1,1
41.787,0.3324,1.1743,0.3069,-0.7672,-0.2004,0.6094,1.000,1.000,0.3342,1001.1720,0.3022,1.796,306.880,0.581,4.532,5.358,1,1
41.795,0.3325,1.1743,0.3069,-0.7640,-0.2048,0.6119,1.000,1.000,0.3342,1001.1720,0.3022,1.825,306.887,0.574,4.533,5.377,1,1
41.807,0.3325,1.1744,0.3068,-0.7538,-0.2227,0.6182,1.000,1.000,0.3342,1001.1720,0.3022,1.850,306.895,0.551,4.531,5.379,1,1
41.825,0.3324,1.1744,0.3068,-0.7482,-0.2272,0.6234,1.000,1.000,0.3342,1001.1720,0.3021,1.865,306.901,0.535,4.557,5.403,1,1
41.844,0.3324,1.1744,0.3068,-0.7482,-0.2272,0.6234,1.000,1.000,0.3342,1001.1720,0.3021,1.866,306.914,0.473,4.557,5.403,1,1
41.850,0.3323,1.1746,0.3067,-0.7534,-0.2177,0.6205,1.000,1.000,0.3341,1001.1730,0.3020,1.780,306.917,0.450,4.561,5.412,1,1
41.855,0.3323,1.1746,0.3067,-0.7535,-0.2171,0.6206,1.000,1.000,0.3340,1001.1730,0.3020,1.745,306.913,0.493,4.565,5.420,1,1
41.862,0.3319,1.1749,0.3066,-0.7475,-0.2242,0.6252,1.000,1.000,0.3339,1001.1730,0.3019,1.692,306.900,0.523,4.570,5.439,1,1
41.882,0.3319,1.1749,0.3066,-0.7513,-0.2202,0.6222,1.000,1.000,0.3337,1001.1730,0.3019,1.642,306.868,0.526,4.569,5.452,1,1
41.888,0.3317,1.1751,0.3065,-0.7521,-0.2187,0.6217,1.000,1.000,0.3334,1001.1730,0.3018,1.556,306.813,0.569,4.569,5.452,1,1
41.895,0.3315,1.1752,0.3065,-0.7479,-0.2226,0.6254,1.000,1.000,0.3332,1001.1730,0.3018,1.507,306.778,0.629,4.568,5.462,1,1
41.907,0.3309,1.1754,0.3064,-0.7505,-0.2200,0.6232,1.000,1.000,0.3329,1001.1730,0.3018,1.439,306.718,0.689,4.603,5.495,1,1
41.927,0.3305,1.1754,0.3064,-0.7504,-0.2214,0.6229,1.000,1.000,0.3327,1001.1730,0.3018,1.395,306.639,0.763,4.616,5.517,1,1
41.945,0.3305,1.1754,0.3064,-0.7504,-0.2214,0.6229,1.000,1.000,0.3323,1001.1730,0.3017,1.367,306.553,0.854,4.616,5.517,1,1
41.951,0.3301,1.1753,0.3064,-0.7509,-0.2228,0.6217,1.000,1.000,0.3319,1001.1730,0.3017,1.416,306.467,0.930,4.630,5.522,1,1
41.956,0.3300,1.1752,0.3064,-0.7503,-0.2245,0.6218,1.000,1.000,0.3318,1001.1730,0.3017,1.469,306.438,0.948,4.640,5.531,1,1
41.962,0.3296,1.1750,0.3065,-0.7497,-0.2274,0.6215,1.000,1.000,0.3317,1001.1730,0.3018,1.499,306.407,0.967,4.639,5.545,1,1
41.982,0.3296,1.1750,0.3065,-0.7497,-0.2274,0.6215,1.000,1.000,0.3314,1001.1730,0.3018,1.542,306.361,1.010,4.639,5.545,1,1
41.988,0.3294,1.1747,0.3065,-0.7495,-0.2301,0.6207,1.000,1.000,0.3312,1001.1730,0.3018,1.645,306.305,1.051,4.660,5.553,1,1
41.996,0.3290,1.1743,0.3066,-0.7486,-0.2337,0.6205,1.000,1.000,0.3308,1001.1720,0.3019,1.765,306.237,1.131,4.703,5.579,1,1
42.013,0.3289,1.1740,0.3066,-0.7468,-0.2379,0.6211,1.000,1.000,0.3308,1001.1720,0.3019,1.765,306.237,1.131,4.713,5.595,1,1
42.031,0.3288,1.1735,0.3068,-0.7442,-0.2419,0.6226,1.000,1.000,0.3307,1001.1720,0.3020,1.898,306.209,1.144,4.719,5.621,1,1
42.050,0.3288,1.1735,0.3068,-0.7435,-0.2423,0.6234,1.000,1.000,0.3306,1001.1720,0.3021,2.064,306.227,1.220,4.719,5.632,1,1
42.056,0.3288,1.1730,0.3069,-0.7422,-0.2462,0.6233,1.000,1.000,0.3306,1001.1710,0.3022,2.294,306.275,1.200,4.719,5.632,1,1
42.062,0.3289,1.1726,0.3071,-0.7392,-0.2505,0.6252,1.000,1.000,0.3306,1001.1710,0.3023,2.400,306.317,1.102,4.750,5.648,1,1
42.082,0.3289,1.1726,0.3071,-0.7385,-0.2509,0.6259,1.000,1.000,0.3307,1001.1710,0.3024,2.507,306.362,1.065,4.763,5.650,1,1
42.087,0.3290,1.1723,0.3072,-0.7374,-0.2525,0.6265,1.000,1.000,0.3308,1001.1700,0.3025,2.599,306.432,1.064,4.763,5.650,1,1
42.096,0.3290,1.1722,0.3072,-0.7366,-0.2539,0.6269,1.000,1.000,0.3308,1001.1700,0.3026,2.687,306.462,1.003,4.760,5.645,1,1
42.107,0.3291,1.1723,0.3075,-0.7341,-0.2557,0.6291,1.000,1.000,0.3309,1001.1700,0.3027,2.710,306.503,1.007,4.745,5.632,1,1
42.125,0.3292,1.1724,0.3076,-0.7323,-0.2558,0.6311,1.000,1.000,0.3310,1001.1700,0.3027,2.739,306.545,0.999,4.715,5.644,1,1
42.145,0.3292,1.1724,0.3076,-0.7323,-0.2558,0.6311,1.000,1.000,0.3310,1001.1710,0.3029,2.747,306.616,0.977,4.715,5.644,1,1
42.151,0.3294,1.1728,0.3078,-0.7307,-0.2557,0.6330,1.000,1.000,0.3312,1001.1710,0.3031,2.745,306.757,0.919,4.714,5.643,1,1
42.156,0.3295,1.1729,0.3078,-0.7305,-0.2548,0.6336,1.000,1.000,0.3313,1001.1710,0.3031,2.690,306.792,0.922,4.714,5.643,1,1
42.162,0.3297,1.1734,0.3080,-0.7283,-0.2536,0.6367,1.000,1.000,0.3314,1001.1710,0.3032,2.692,306.890,0.907,4.721,5.641,1,1
42.180,0.3297,1.1734,0.3080,-0.7281,-0.2534,0.6369,1.000,1.000,0.3315,1001.1710,0.3033,2.644,306.972,0.908,4.723,5.636,1,1
42.187,0.3298,1.1736,0.3081,-0.7279,-0.2529,0.6374,1.000,1.000,0.3315,1001.1720,0.3034,2.612,307.003,0.914,4.723,5.636,1,1
42.195,0.3298,1.1738,0.3082,-0.7273,-0.2522,0.6383,1.000,1.000,0.3316,1001.1720,0.3035,2.580,307.051,0.947,4.724,5.627,1,1
42.207,0.3300,1.1747,0.3083,-0.7260,-0.2498,0.6407,1.000,1.000,0.3317,1001.1720,0.3036,2.523,307.121,0.982,4.659,5.597,1,1
42.227,0.3301,1.1752,0.3085,-0.7257,-0.2463,0.6424,1.000,1.000,0.3317,1001.1730,0.3036,2.440,307.199,0.962,4.446,5.560,1,1
42.244,0.3301,1.1752,0.3085,-0.7269,-0.2398,0.6435,1.000,1.000,0.3318,1001.1730,0.3038,2.324,307.312,0.988,4.372,5.477,1,1
42.249,0.3302,1.1756,0.3087,-0.7260,-0.2308,0.6478,1.000,1.000,0.3319,1001.1740,0.3040,2.199,307.427,0.978,4.187,5.410,1,1
42.255,0.3302,1.1758,0.3087,-0.7256,-0.2289,0.6490,1.000,1.000,0.3319,1001.1740,0.3040,2.095,307.471,1.129,4.187,5.410,1,1
42.262,0.3303,1.1761,0.3089,-0.7408,-0.1731,0.6490,1.000,1.000,0.3320,1001.1740,0.3041,2.029,307.542,1.116,4.306,5.368,1,1
42.282,0.3303,1.1761,0.3089,-0.7554,-0.1264,0.6429,1.000,1.000,0.3320,1001.1740,0.3042,1.949,307.622,1.081,4.381,5.385,1,1
42.288,0.3304,1.1764,0.3091,-0.7545,-0.1249,0.6443,1.000,1.000,0.3321,1001.1740,0.3043,1.860,307.710,1.131,4.381,5.385,1,1
42.295,0.3304,1.1765,0.3091,-0.7701,-0.0603,0.6351,1.000,1.000,0.3321,1001.1740,0.3044,1.819,307.758,1.160,4.437,5.394,1,1
42.307,0.3306,1.1768,0.3093,-0.7694,-0.0486,0.6370,1.000,1.000,0.3322,1001.1750,0.3045,1.774,307.841,1.187,4.490,5.371,1,1
42.327,0.3307,1.1768,0.3093,-0.7713,-0.0369,0.6354,1.000,1.000,0.3323,1001.1750,0.3046,1.738,307.887,1.250,4.469,5.377,1,1
42.345,0.3307,1.1768,0.3093,-0.7751,-0.0134,0.6317,1.000,1.000,0.3324,1001.1750,0.3046,1.739,307.949,1.325,4.469,5.377,1,1
42.351,0.3309,1.1768,0.3093,-0.7741,-0.0157,0.6328,1.000,1.000,0.3326,1001.1750,0.3046,1.783,307.996,1.376,4.477,5.382,1,1
42.356,0.3310,1.1767,0.3094,-0.7738,-0.0166,0.6332,1.000,1.000,0.3327,1001.1750,0.3046,1.832,308.027,1.369,4.477,5.382,1,1
42.362,0.3313,1.1767,0.3094,-0.7768,0.0017,0.6298,1.000,1.000,0.3328,1001.1750,0.3046,1.824,308.047,1.382,4.491,5.360,1,1
42.382,0.3313,1.1767,0.3094,-0.7768,0.0017,0.6298,1.000,1.000,0.3329,1001.1750,0.3046,1.810,308.053,1.364,4.491,5.360,1,1
42.388,0.3314,1.1768,0.3094,-0.7755,-0.0062,0.6313,1.000,1.000,0.3331,1001.1750,0.3046,1.749,308.047,1.347,4.491,5.345,1,1
42.396,0.3316,1.1768,0.3093,-0.7731,-0.0249,0.6338,1.000,1.000,0.3332,1001.1750,0.3046,1.712,308.026,1.389,4.487,5.346,1,1
42.407,0.3319,1.1769,0.3092,-0.7763,-0.0102,0.6302,1.000,1.000,0.3334,1001.1750,0.3046,1.682,308.017,1.397,4.471,5.355,1,1
42.426,0.3322,1.1769,0.3091,-0.7774,-0.0083,0.6290,1.000,1.000,0.3336,1001.1750,0.3045,1.670,307.985,1.369,4.472,5.343,1,1
42.444,0.3322,1.1769,0.3091,-0.7774,-0.0114,0.6288,1.000,1.000,0.3339,1001.1750,0.3044,1.655,307.962,1.332,4.480,5.345,1,1
42.450,0.3325,1.1770,0.3091,-0.7776,-0.0110,0.6286,1.000,1.000,0.3342,1001.1750,0.3043,1.629,307.945,1.265,4.480,5.345,1,1
