TrialID,Scenario,Condition,StartTime,EndTime,DurationSeconds,Success,Collisions,BlinkRatePerMin
1,Visual Search,UniformQ50,21:44:49.606,21:45:39.008,49.40,1,0,0.00
2,Visual Search,Foveated_90_5,21:46:31.044,21:47:02.804,31.78,1,0,0.00
3,Visual Search,InverseFoveated_5_90,21:47:14.653,21:48:15.948,61.31,1,0,0.00
