timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
1296.208,0.1981,1.0348,0.1403,-0.8609,-0.3565,-0.3630,1.000,1.000,0.2049,1001.0350,0.1403,26.288,256.661,5.618,3.808,4.821,1,1
1296.229,0.1982,1.0350,0.1401,-0.8562,-0.3757,-0.3547,1.000,1.000,0.2050,1001.0350,0.1403,26.239,256.499,5.545,3.781,4.794,1,1
1296.248,0.1982,1.0350,0.1401,-0.8562,-0.3757,-0.3547,1.000,1.000,0.2052,1001.0360,0.1401,26.318,256.333,5.427,3.781,4.794,1,1
1296.254,0.1985,1.0352,0.1398,-0.8544,-0.3785,-0.3561,1.000,1.000,0.2054,1001.0360,0.1398,26.297,256.108,5.292,3.773,4.789,1,1
1296.264,0.1987,1.0355,0.1394,-0.8543,-0.3755,-0.3594,1.000,1.000,0.2055,1001.0360,0.1396,26.187,255.956,5.165,3.782,4.793,1,1
1296.284,0.1987,1.0355,0.1394,-0.8543,-0.3755,-0.3594,1.000,1.000,0.2056,1001.0360,0.1394,26.069,255.797,5.061,3.782,4.793,1,1
1296.290,0.1989,1.0356,0.1391,-0.8523,-0.3802,-0.3592,1.000,1.000,0.2058,1001.0360,0.1392,26.038,255.610,4.924,3.768,4.797,1,1
1296.297,0.1989,1.0356,0.1390,-0.8530,-0.3776,-0.3604,1.000,1.000,0.2058,1001.0360,0.1391,25.884,255.547,4.893,3.744,4.800,1,1
1296.308,0.1992,1.0357,0.1384,-0.8512,-0.3792,-0.3629,1.000,1.000,0.2060,1001.0360,0.1388,25.876,255.430,4.837,3.678,4.829,1,1
1296.331,0.1995,1.0358,0.1379,-0.8502,-0.3801,-0.3642,1.000,1.000,0.2061,1001.0360,0.1385,25.830,255.277,4.738,3.690,4.761,1,1
1296.349,0.1995,1.0358,0.1379,-0.8502,-0.3801,-0.3642,1.000,1.000,0.2064,1001.0360,0.1380,25.809,255.090,4.631,3.699,4.751,1,1
1296.355,0.1998,1.0359,0.1373,-0.8487,-0.3798,-0.3681,1.000,1.000,0.2067,1001.0360,0.1374,25.756,254.862,4.559,3.699,4.751,1,1
1296.364,0.2001,1.0359,0.1366,-0.8475,-0.3783,-0.3724,1.000,1.000,0.2069,1001.0370,0.1371,25.679,254.756,4.552,3.691,4.737,1,1
1296.385,0.2001,1.0359,0.1366,-0.8473,-0.3782,-0.3729,1.000,1.000,0.2071,1001.0370,0.1368,25.665,254.635,4.519,3.686,4.742,1,1
1296.391,0.2004,1.0360,0.1360,-0.8463,-0.3781,-0.3752,1.000,1.000,0.2074,1001.0370,0.1362,25.666,254.477,4.480,3.686,4.742,1,1
1296.397,0.2005,1.0361,0.1358,-0.8458,-0.3778,-0.3766,1.000,1.000,0.2075,1001.0370,0.1360,25.636,254.428,4.554,3.675,4.745,1,1
1296.408,0.2010,1.0362,0.1348,-0.8440,-0.3771,-0.3814,1.000,1.000,0.2077,1001.0370,0.1354,25.609,254.288,4.545,3.665,4.706,1,1
1296.429,0.2012,1.0363,0.1343,-0.8430,-0.3769,-0.3839,1.000,1.000,0.2079,1001.0370,0.1350,25.588,254.192,4.576,3.649,4.687,1,1
1296.447,0.2012,1.0363,0.1343,-0.8427,-0.3770,-0.3842,1.000,1.000,0.2081,1001.0370,0.1345,25.568,254.076,4.548,3.645,4.681,1,1
1296.453,0.2014,1.0365,0.1338,-0.8422,-0.3763,-0.3862,1.000,1.000,0.2083,1001.0370,0.1340,25.527,253.950,4.546,3.645,4.681,1,1
1296.464,0.2016,1.0367,0.1330,-0.8360,-0.3776,-0.3981,1.000,1.000,0.2085,1001.0370,0.1336,25.474,253.883,4.711,3.624,4.723,1,1
1296.484,0.2016,1.0367,0.1330,-0.8386,-0.3763,-0.3939,1.000,1.000,0.2085,1001.0370,0.1332,25.436,253.783,4.695,3.615,4.734,1,1
1296.490,0.2018,1.0368,0.1324,-0.8309,-0.3792,-0.4073,1.000,1.000,0.2087,1001.0370,0.1327,25.381,253.652,4.734,3.607,4.721,1,1
1296.497,0.2018,1.0369,0.1322,-0.8307,-0.3790,-0.4077,1.000,1.000,0.2088,1001.0380,0.1325,25.347,253.631,4.872,3.607,4.721,1,1
1296.508,0.2020,1.0371,0.1315,-0.7933,-0.3654,-0.4870,1.000,1.000,0.2088,1001.0380,0.1321,25.330,253.555,4.854,3.745,4.630,1,1
1296.528,0.2020,1.0372,0.1310,-0.7704,-0.3511,-0.5321,1.000,1.000,0.2089,1001.0380,0.1317,25.283,253.468,4.883,3.781,4.607,1,1
1296.549,0.2020,1.0372,0.1310,-0.7620,-0.3469,-0.5468,1.000,1.000,0.2089,1001.0380,0.1313,25.268,253.391,4.880,3.779,4.589,1,1
1296.554,0.2020,1.0373,0.1304,-0.7612,-0.3464,-0.5483,1.000,1.000,0.2089,1001.0380,0.1307,25.241,253.284,4.876,3.774,4.579,1,1
1296.563,0.2020,1.0373,0.1299,-0.7452,-0.3549,-0.5645,1.000,1.000,0.2089,1001.0380,0.1304,25.208,253.250,4.941,3.776,4.573,1,1
1296.584,0.2020,1.0373,0.1299,-0.7452,-0.3549,-0.5645,1.000,1.000,0.2089,1001.0380,0.1303,25.197,253.220,4.929,3.776,4.573,1,1
1296.590,0.2019,1.0373,0.1296,-0.7447,-0.3610,-0.5614,1.000,1.000,0.2089,1001.0380,0.1299,25.208,253.166,4.903,3.764,4.585,1,1
1296.597,0.2019,1.0372,0.1294,-0.7429,-0.3636,-0.5621,1.000,1.000,0.2089,1001.0380,0.1297,25.181,253.129,4.859,3.760,4.594,1,1
1296.608,0.2019,1.0370,0.1288,-0.7400,-0.3690,-0.5623,1.000,1.000,0.2088,1001.0380,0.1295,25.200,253.112,4.855,3.761,4.579,1,1
1296.629,0.2019,1.0369,0.1284,-0.7379,-0.3717,-0.5634,1.000,1.000,0.2088,1001.0380,0.1291,25.195,253.073,4.846,3.778,4.586,1,1
1296.648,0.2019,1.0369,0.1284,-0.7374,-0.3732,-0.5629,1.000,1.000,0.2088,1001.0370,0.1288,25.206,253.042,4.855,3.774,4.593,1,1
1296.654,0.2020,1.0366,0.1280,-0.7414,-0.3740,-0.5572,1.000,1.000,0.2089,1001.0370,0.1284,25.209,252.997,4.877,3.770,4.597,1,1
1296.664,0.2021,1.0363,0.1277,-0.7413,-0.3748,-0.5567,1.000,1.000,0.2089,1001.0370,0.1282,25.294,252.983,4.881,3.759,4.638,1,1
1296.685,0.2021,1.0363,0.1277,-0.7413,-0.3748,-0.5567,1.000,1.000,0.2090,1001.0370,0.1281,25.350,252.979,4.902,3.759,4.638,1,1
1296.691,0.2022,1.0361,0.1274,-0.7416,-0.3733,-0.5574,1.000,1.000,0.2091,1001.0370,0.1278,25.380,252.963,4.936,3.764,4.640,1,1
1296.697,0.2022,1.0360,0.1274,-0.7415,-0.3730,-0.5577,1.000,1.000,0.2091,1001.0370,0.1277,25.486,252.983,4.972,3.755,4.641,1,1
1296.708,0.2023,1.0358,0.1271,-0.7429,-0.3667,-0.5600,1.000,1.000,0.2092,1001.0360,0.1276,25.501,252.980,4.986,3.753,4.606,1,1
1296.729,0.2024,1.0357,0.1268,-0.7433,-0.3644,-0.5610,1.000,1.000,0.2093,1001.0360,0.1274,25.536,252.979,5.018,3.757,4.594,1,1
1296.748,0.2024,1.0357,0.1268,-0.7438,-0.3628,-0.5614,1.000,1.000,0.2094,1001.0360,0.1272,25.552,252.968,5.031,3.755,4.594,1,1
1296.753,0.2026,1.0357,0.1265,-0.7438,-0.3617,-0.5621,1.000,1.000,0.2095,1001.0360,0.1269,25.569,252.917,5.069,3.752,4.600,1,1
1296.764,0.2028,1.0357,0.1262,-0.7440,-0.3609,-0.5624,1.000,1.000,0.2096,1001.0360,0.1267,25.621,252.917,5.184,3.734,4.613,1,1
1296.784,0.2028,1.0357,0.1262,-0.7440,-0.3609,-0.5624,1.000,1.000,0.2097,1001.0360,0.1266,25.634,252.862,5.181,3.734,4.613,1,1
1296.790,0.2028,1.0358,0.1259,-0.7434,-0.3600,-0.5637,1.000,1.000,0.2098,1001.0360,0.1263,25.639,252.755,5.196,3.720,4.615,1,1
1296.797,0.2029,1.0358,0.1258,-0.7435,-0.3598,-0.5637,1.000,1.000,0.2098,1001.0360,0.1261,25.616,252.724,5.255,3.718,4.616,1,1
1296.808,0.2030,1.0359,0.1254,-0.7422,-0.3612,-0.5645,1.000,1.000,0.2098,1001.0360,0.1260,25.640,252.625,5.255,3.736,4.627,1,1
1296.830,0.2031,1.0359,0.1252,-0.7413,-0.3627,-0.5647,1.000,1.000,0.2099,1001.0360,0.1258,25.607,252.534,5.248,3.737,4.625,1,1
1296.849,0.2031,1.0359,0.1252,-0.7415,-0.3629,-0.5643,1.000,1.000,0.2100,1001.0360,0.1256,25.619,252.397,5.247,3.735,4.625,1,1
1296.854,0.2031,1.0359,0.1250,-0.7401,-0.3628,-0.5662,1.000,1.000,0.2100,1001.0370,0.1255,25.610,252.248,5.243,3.735,4.625,1,1
1296.864,0.2030,1.0360,0.1248,-0.7151,-0.4123,-0.5645,1.000,1.000,0.2099,1001.0370,0.1254,25.605,252.154,5.246,3.799,4.788,1,1
