TrialID,Scenario,Condition,StartTime,EndTime,DurationSeconds,Success,Collisions,BlinkRatePerMin
2,Identification,UniformQ50,17:08:03.451,17:08:25.842,22.38,1,0,0.00
3,Identification,Foveated_90_5,17:08:42.024,17:09:07.680,25.66,1,0,0.00
4,Identification,InverseFoveated_5_90,17:09:28.527,17:09:42.260,13.75,1,0,0.00
