timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
210.845,0.1633,1.0402,0.2545,-0.8234,-0.5594,-0.0955,0.978,0.966,0.1701,1001.0440,0.2563,20.947,268.192,2.136,7.113,4.226,1,1
210.867,0.1700,1.0410,0.2546,-0.8177,-0.5683,-0.0916,0.986,0.978,0.1757,1001.0440,0.2563,20.868,268.247,1.995,7.084,4.214,1,1
210.886,0.1700,1.0410,0.2546,-0.8145,-0.5731,-0.0902,0.989,0.982,0.1825,1001.0450,0.2564,20.713,268.308,1.708,7.066,4.212,1,1
210.892,0.1757,1.0420,0.2546,-0.8140,-0.5743,-0.0870,0.991,0.986,0.1881,1001.0460,0.2564,20.514,268.483,1.686,7.044,4.212,1,1
210.899,0.1775,1.0424,0.2547,-0.8191,-0.5673,-0.0857,0.991,0.986,0.1900,1001.0460,0.2565,20.001,268.508,1.930,7.044,4.212,1,1
210.910,0.1833,1.0434,0.2548,-0.8199,-0.5663,-0.0839,0.994,0.991,0.1929,1001.0460,0.2565,19.949,268.640,1.776,7.048,4.247,1,1
210.929,0.1869,1.0436,0.2549,-0.8205,-0.5655,-0.0837,0.996,0.994,0.1958,1001.0470,0.2565,19.575,268.736,1.782,7.072,4.253,1,1
210.949,0.1869,1.0436,0.2549,-0.8182,-0.5690,-0.0825,0.996,0.994,0.1994,1001.0470,0.2566,19.456,268.890,1.709,7.083,4.254,1,1
210.954,0.1914,1.0434,0.2550,-0.8185,-0.5690,-0.0789,0.997,0.995,0.2040,1001.0470,0.2566,19.273,269.100,1.750,7.090,4.254,1,1
210.959,0.1928,1.0431,0.2550,-0.8200,-0.5669,-0.0791,0.997,0.995,0.2054,1001.0460,0.2567,19.126,269.102,1.707,7.090,4.254,1,1
210.965,0.1973,1.0418,0.2553,-0.8177,-0.5705,-0.0767,0.998,0.997,0.2072,1001.0460,0.2568,19.100,269.148,1.694,7.144,4.274,1,1
210.985,0.1973,1.0418,0.2553,-0.8179,-0.5702,-0.0769,0.998,0.998,0.2099,1001.0450,0.2570,19.084,269.184,1.848,7.159,4.286,1,1
210.990,0.2006,1.0404,0.2556,-0.8160,-0.5731,-0.0755,0.998,0.998,0.2131,1001.0440,0.2572,19.277,269.229,1.997,7.159,4.286,1,1
