timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
1529.545,0.3433,1.0572,0.2349,-0.7856,-0.5664,0.2492,1.000,1.000,0.3489,1001.0640,0.2340,5.691,277.327,0.912,4.962,5.786,1,1
1529.551,0.3433,1.0572,0.2349,-0.7856,-0.5664,0.2489,1.000,1.000,0.3489,1001.0640,0.2340,5.693,277.314,0.903,4.962,5.786,1,1
1529.556,0.3433,1.0572,0.2349,-0.7888,-0.5627,0.2473,1.000,1.000,0.3489,1001.0640,0.2340,5.705,277.306,0.894,4.961,5.790,1,1
1529.563,0.3433,1.0571,0.2349,-0.7886,-0.5611,0.2514,1.000,1.000,0.3489,1001.0640,0.2340,5.706,277.294,0.883,4.956,5.782,1,1
1529.581,0.3433,1.0571,0.2349,-0.7886,-0.5611,0.2514,1.000,1.000,0.3489,1001.0640,0.2340,5.700,277.281,0.885,4.956,5.782,1,1
1529.586,0.3433,1.0571,0.2349,-0.7897,-0.5587,0.2534,1.000,1.000,0.3489,1001.0640,0.2340,5.717,277.273,0.883,4.931,5.784,1,1
1529.597,0.3433,1.0571,0.2349,-0.7905,-0.5560,0.2568,1.000,1.000,0.3489,1001.0640,0.2340,5.707,277.265,0.885,4.927,5.790,1,1
1529.608,0.3433,1.0570,0.2348,-0.7952,-0.5491,0.2572,1.000,1.000,0.3489,1001.0640,0.2340,5.724,277.265,0.879,4.900,5.751,1,1
1529.627,0.3433,1.0570,0.2348,-0.7962,-0.5469,0.2589,1.000,1.000,0.3489,1001.0640,0.2340,5.734,277.268,0.876,4.902,5.725,1,1
1529.645,0.3433,1.0570,0.2348,-0.7962,-0.5469,0.2589,1.000,1.000,0.3489,1001.0630,0.2340,5.720,277.271,0.863,4.902,5.725,1,1
1529.650,0.3433,1.0570,0.2349,-0.8000,-0.5399,0.2618,1.000,1.000,0.3489,1001.0630,0.2340,5.718,277.271,0.855,4.901,5.720,1,1
1529.657,0.3433,1.0570,0.2349,-0.7999,-0.5399,0.2621,1.000,1.000,0.3489,1001.0630,0.2340,5.725,277.284,0.867,4.901,5.720,1,1
1529.663,0.3433,1.0569,0.2349,-0.8014,-0.5369,0.2637,1.000,1.000,0.3489,1001.0630,0.2340,5.723,277.295,0.864,4.904,5.733,1,1
1529.682,0.3433,1.0569,0.2349,-0.8027,-0.5342,0.2651,1.000,1.000,0.3489,1001.0630,0.2341,5.722,277.298,0.852,4.905,5.739,1,1
1529.686,0.3433,1.0569,0.2350,-0.8040,-0.5317,0.2661,1.000,1.000,0.3489,1001.0630,0.2341,5.746,277.323,0.872,4.906,5.762,1,1
1529.697,0.3433,1.0570,0.2351,-0.8026,-0.5337,0.2667,1.000,1.000,0.3489,1001.0630,0.2342,5.721,277.325,0.829,4.884,5.779,1,1
1529.708,0.3433,1.0570,0.2351,-0.8063,-0.5213,0.2797,1.000,1.000,0.3489,1001.0630,0.2342,5.702,277.324,0.833,4.836,5.790,1,1
1529.727,0.3433,1.0570,0.2351,-0.8024,-0.5161,0.2997,1.000,1.000,0.3489,1001.0640,0.2342,5.690,277.330,0.844,4.784,5.846,1,1
1529.745,0.3433,1.0570,0.2351,-0.7956,-0.5065,0.3323,1.000,1.000,0.3489,1001.0640,0.2343,5.695,277.325,0.851,4.745,5.872,1,1
1529.751,0.3433,1.0569,0.2352,-0.7955,-0.5066,0.3324,1.000,1.000,0.3489,1001.0630,0.2343,5.705,277.328,0.861,4.745,5.872,1,1
1529.756,0.3433,1.0569,0.2352,-0.7843,-0.5087,0.3552,1.000,1.000,0.3489,1001.0630,0.2343,5.714,277.333,0.838,4.713,5.883,1,1
1529.763,0.3433,1.0569,0.2352,-0.7797,-0.4951,0.3832,1.000,1.000,0.3489,1001.0630,0.2343,5.710,277.323,0.859,4.678,5.889,1,1
1529.781,0.3433,1.0569,0.2352,-0.7770,-0.4876,0.3981,1.000,1.000,0.3489,1001.0630,0.2343,5.721,277.328,0.838,4.676,5.890,1,1
1529.787,0.3433,1.0569,0.2352,-0.7739,-0.4873,0.4045,1.000,1.000,0.3489,1001.0630,0.2344,5.720,277.323,0.840,4.677,5.886,1,1
1529.797,0.3433,1.0569,0.2353,-0.7730,-0.4809,0.4137,1.000,1.000,0.3489,1001.0630,0.2344,5.729,277.328,0.838,4.686,5.884,1,1
1529.808,0.3434,1.0568,0.2353,-0.7686,-0.4784,0.4248,1.000,1.000,0.3489,1001.0630,0.2344,5.713,277.333,0.836,4.686,5.868,1,1
1529.827,0.3434,1.0568,0.2353,-0.7660,-0.4735,0.4348,1.000,1.000,0.3489,1001.0630,0.2344,5.717,277.327,0.807,4.670,5.859,1,1
1529.845,0.3434,1.0568,0.2353,-0.7684,-0.4803,0.4229,1.000,1.000,0.3490,1001.0630,0.2344,5.706,277.327,0.827,4.717,5.861,1,1
1529.851,0.3434,1.0567,0.2353,-0.7684,-0.4804,0.4228,1.000,1.000,0.3490,1001.0630,0.2344,5.706,277.322,0.815,4.717,5.861,1,1
1529.856,0.3434,1.0567,0.2353,-0.7630,-0.4702,0.4435,1.000,1.000,0.3490,1001.0630,0.2344,5.713,277.324,0.825,4.758,5.863,1,1
1529.863,0.3435,1.0567,0.2353,-0.8128,-0.5518,0.1868,1.000,1.000,0.3490,1001.0630,0.2344,5.716,277.310,0.826,4.771,5.822,1,1
1529.883,0.3435,1.0567,0.2353,-0.8128,-0.5518,0.1868,1.000,1.000,0.3490,1001.0630,0.2344,5.721,277.299,0.831,4.771,5.822,1,1
1529.889,0.3435,1.0567,0.2353,-0.7998,-0.5228,0.2951,1.000,1.000,0.3490,1001.0630,0.2344,5.724,277.290,0.823,4.756,5.829,1,1
1529.897,0.3435,1.0567,0.2353,-0.8121,-0.5456,0.2070,1.000,1.000,0.3490,1001.0630,0.2344,5.713,277.289,0.843,4.739,5.807,1,1
