t,event,bytes_total,bytes_periph,bytes_fovea,cmd_received,gaze_uv,quality_mode,crop_x,crop_y,crop_w,crop_h,delta_ms
1779706737.2857,server_start,0,0,0,,,gaze-p15-f85-unity,,,,,
1779707655.9199,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707655.9532,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707655.9863,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.0194,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.0526,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.0859,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.1190,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.1521,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.1852,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.2184,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.2515,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.2847,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.3179,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.3510,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.3841,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.4172,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.4504,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.4835,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.5166,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.5497,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.5828,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.6159,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.6490,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.6822,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.7153,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.7484,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.7815,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.8147,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.8478,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.8808,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.9139,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.9470,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707656.9801,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.0158,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.0463,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.0795,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.1126,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.1457,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.1788,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.2119,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.2450,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.2781,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.3508,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.3508,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.3774,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.4105,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.4437,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.4767,gaze_received,0,0,0,,"0.501,0.501",gaze,,,,,
1779707657.4868,frame_sent,20629,17235,3378,,"0.501,0.501",gaze,540,259,200,200,-57.1
1779707657.5099,gaze_received,0,0,0,,"0.000,0.000",gaze,,,,,
1779707657.5430,gaze_received,0,0,0,,"0.000,0.000",gaze,,,,,
1779707657.5514,frame_sent,18174,17235,923,,"0.000,0.000",gaze,0,620,100,100,-56.1
1779707657.5762,gaze_received,0,0,0,,"0.005,0.000",gaze,,,,,
1779707657.5924,frame_sent,18178,17235,927,,"0.005,0.000",gaze,0,620,106,100,-24.7
1779707657.6051,frame_sent,18178,17235,927,,"0.005,0.000",gaze,0,620,106,100,16.3
1779707657.6093,gaze_received,0,0,0,,"0.031,0.000",gaze,,,,,
