t,event,bytes_total,bytes_periph,bytes_fovea,cmd_received,gaze_uv,quality_mode,crop_x,crop_y,crop_w,crop_h,delta_ms
1779709190.6948,server_start,0,0,0,,,uniform-50-unity,,,,,
1779709513.0543,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.0875,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.1206,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.1537,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.1868,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.2199,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.2530,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.2863,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.3193,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.3525,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.3856,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.4187,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.4518,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.4848,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.5180,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.5511,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.5842,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.6173,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.6504,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.6835,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.7166,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.7498,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.7828,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.8159,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.8491,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.8822,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
1779709513.9153,gaze_received,0,0,0,,"0.501,0.501",uniform,,,,,
