t,event,bytes_total,bytes_periph,bytes_fovea,cmd_received,gaze_uv,quality_mode,crop_x,crop_y,crop_w,crop_h,delta_ms
1779386327.6206,server_start,0,0,0,,,gaze-p15-f90,,,,,
1779386330.0019,gaze_received,0,0,0,,"0.499,0.499",gaze,,,,,
1779386330.0356,gaze_received,0,0,0,,"0.513,0.523",gaze,,,,,
1779386330.0691,gaze_received,0,0,0,,"0.527,0.546",gaze,,,,,
1779386330.1027,gaze_received,0,0,0,,"0.540,0.568",gaze,,,,,
1779386330.1367,gaze_received,0,0,0,,"0.554,0.591",gaze,,,,,
1779386330.1705,gaze_received,0,0,0,,"0.567,0.613",gaze,,,,,
1779386330.2043,gaze_received,0,0,0,,"0.580,0.635",gaze,,,,,
1779386330.2378,gaze_received,0,0,0,,"0.593,0.656",gaze,,,,,
1779386330.2714,gaze_received,0,0,0,,"0.606,0.677",gaze,,,,,
1779386330.2865,frame_sent,14677,9195,5466,,"0.606,0.677",gaze,287,55,200,200,-269.5
1779386330.3049,gaze_received,0,0,0,,"0.619,0.697",gaze,,,,,
1779386330.3069,frame_sent,13459,9003,4440,,"0.619,0.697",gaze,295,45,200,200,-18.4
1779386330.3388,gaze_received,0,0,0,,"0.632,0.717",gaze,,,,,
1779386330.3388,frame_sent,12879,8953,3910,,"0.632,0.717",gaze,304,35,200,200,-1.8
1779386330.3726,gaze_received,0,0,0,,"0.645,0.735",gaze,,,,,
1779386330.3912,frame_sent,12474,8914,3544,,"0.645,0.735",gaze,312,27,200,200,15.5
1779386330.4061,gaze_received,0,0,0,,"0.657,0.753",gaze,,,,,
1779386330.4403,gaze_received,0,0,0,,"0.670,0.771",gaze,,,,,
1779386330.4410,frame_sent,12158,8882,3260,,"0.657,0.753",gaze,320,18,200,200,32.5
1779386330.4742,gaze_received,0,0,0,,"0.682,0.787",gaze,,,,,
1779386330.4908,frame_sent,12083,8896,3171,,"0.682,0.787",gaze,336,2,200,200,14.8
1779386330.5081,gaze_received,0,0,0,,"0.694,0.803",gaze,,,,,
1779386330.5420,gaze_received,0,0,0,,"0.705,0.817",gaze,,,,,
1779386330.5420,frame_sent,11915,8905,2994,,"0.694,0.803",gaze,343,0,200,194,32.2
1779386330.5760,gaze_received,0,0,0,,"0.717,0.831",gaze,,,,,
1779386330.5945,frame_sent,11644,8888,2740,,"0.717,0.831",gaze,358,0,200,181,15.7
1779386330.6100,gaze_received,0,0,0,,"0.728,0.843",gaze,,,,,
1779386330.6436,gaze_received,0,0,0,,"0.739,0.854",gaze,,,,,
1779386330.6446,frame_sent,11624,8869,2739,,"0.739,0.854",gaze,372,0,200,170,-0.7
1779386330.6772,gaze_received,0,0,0,,"0.750,0.864",gaze,,,,,
1779386330.6954,frame_sent,11625,8924,2685,,"0.750,0.864",gaze,379,0,200,165,16.7
1779386330.7109,gaze_received,0,0,0,,"0.760,0.873",gaze,,,,,
1779386330.7450,gaze_received,0,0,0,,"0.770,0.881",gaze,,,,,
1779386330.7460,frame_sent,11396,8913,2467,,"0.770,0.881",gaze,392,0,200,157,-0.7
1779386330.7786,gaze_received,0,0,0,,"0.780,0.887",gaze,,,,,
1779386330.7972,frame_sent,11420,8899,2505,,"0.780,0.887",gaze,399,0,200,154,16.8
1779386330.8124,gaze_received,0,0,0,,"0.790,0.892",gaze,,,,,
1779386330.8482,gaze_received,0,0,0,,"0.799,0.896",gaze,,,,,
1779386330.8494,frame_sent,11398,8850,2532,,"0.799,0.896",gaze,411,0,200,149,-0.3
1779386330.8818,gaze_received,0,0,0,,"0.808,0.898",gaze,,,,,
1779386330.9011,frame_sent,11421,8822,2583,,"0.808,0.898",gaze,416,0,200,149,17.5
1779386330.9153,gaze_received,0,0,0,,"0.816,0.900",gaze,,,,,
1779386330.9492,gaze_received,0,0,0,,"0.824,0.899",gaze,,,,,
1779386330.9530,frame_sent,11551,8802,2733,,"0.824,0.899",gaze,427,0,200,148,1.5
1779386330.9830,gaze_received,0,0,0,,"0.832,0.898",gaze,,,,,
1779386331.0035,frame_sent,11543,8809,2718,,"0.832,0.898",gaze,432,0,200,149,19.2
1779386331.0166,gaze_received,0,0,0,,"0.839,0.895",gaze,,,,,
1779386331.0505,gaze_received,0,0,0,,"0.846,0.891",gaze,,,,,
1779386331.0573,frame_sent,11639,8807,2816,,"0.846,0.891",gaze,441,0,199,152,3.0
1779386331.0845,gaze_received,0,0,0,,"0.853,0.885",gaze,,,,,
1779386331.1062,frame_sent,11775,8820,2939,,"0.853,0.885",gaze,445,0,195,155,19.6
1779386331.1183,gaze_received,0,0,0,,"0.859,0.878",gaze,,,,,
1779386331.1521,gaze_received,0,0,0,,"0.865,0.870",gaze,,,,,
1779386331.1575,frame_sent,11824,8825,2983,,"0.865,0.870",gaze,453,0,187,162,3.1
1779386331.1859,gaze_received,0,0,0,,"0.870,0.861",gaze,,,,,
1779386331.2091,frame_sent,11731,8809,2906,,"0.870,0.861",gaze,456,0,184,166,20.5
1779386331.2194,gaze_received,0,0,0,,"0.875,0.851",gaze,,,,,
1779386331.2532,gaze_received,0,0,0,,"0.879,0.839",gaze,,,,,
1779386331.2596,frame_sent,12016,8822,3178,,"0.879,0.839",gaze,462,0,178,177,4.5
1779386331.2870,gaze_received,0,0,0,,"0.883,0.827",gaze,,,,,
1779386331.3114,frame_sent,11896,8779,3101,,"0.883,0.827",gaze,465,0,175,183,22.3
1779386331.3208,gaze_received,0,0,0,,"0.887,0.813",gaze,,,,,
1779386331.3547,gaze_received,0,0,0,,"0.890,0.798",gaze,,,,,
1779386331.3629,frame_sent,12243,8787,3440,,"0.890,0.798",gaze,469,0,171,197,5.9
1779386331.3882,gaze_received,0,0,0,,"0.893,0.782",gaze,,,,,
1779386331.4141,frame_sent,12114,8745,3353,,"0.893,0.782",gaze,471,4,169,200,23.6
1779386331.4222,gaze_received,0,0,0,,"0.895,0.766",gaze,,,,,
1779386331.4558,gaze_received,0,0,0,,"0.897,0.748",gaze,,,,,
1779386331.4641,frame_sent,12114,8796,3302,,"0.897,0.748",gaze,474,21,166,200,7.0
1779386331.4896,gaze_received,0,0,0,,"0.898,0.730",gaze,,,,,
1779386331.5153,frame_sent,12289,8925,3348,,"0.898,0.730",gaze,474,29,166,200,24.6
1779386331.5233,gaze_received,0,0,0,,"0.899,0.711",gaze,,,,,
1779386331.5569,gaze_received,0,0,0,,"0.900,0.691",gaze,,,,,
1779386331.5691,frame_sent,12673,9031,3626,,"0.900,0.691",gaze,475,48,165,200,8.6
1779386331.5906,gaze_received,0,0,0,,"0.900,0.670",gaze,,,,,
1779386331.6189,frame_sent,12682,9002,3664,,"0.900,0.670",gaze,475,58,165,200,26.0
1779386331.6245,gaze_received,0,0,0,,"0.899,0.649",gaze,,,,,
1779386331.6581,gaze_received,0,0,0,,"0.898,0.628",gaze,,,,,
1779386331.6697,frame_sent,12810,9019,3775,,"0.898,0.628",gaze,474,78,166,200,9.5
1779386331.6918,gaze_received,0,0,0,,"0.897,0.606",gaze,,,,,
1779386331.7209,frame_sent,12961,9025,3920,,"0.897,0.606",gaze,474,89,166,200,27.0
1779386331.7255,gaze_received,0,0,0,,"0.895,0.584",gaze,,,,,
1779386331.7593,gaze_received,0,0,0,,"0.893,0.561",gaze,,,,,
1779386331.7717,frame_sent,13208,8994,4198,,"0.893,0.561",gaze,471,110,169,200,10.8
1779386331.7931,gaze_received,0,0,0,,"0.890,0.538",gaze,,,,,
1779386331.8235,frame_sent,13409,8977,4416,,"0.890,0.538",gaze,469,121,171,200,28.1
1779386331.8270,gaze_received,0,0,0,,"0.887,0.516",gaze,,,,,
1779386331.8609,gaze_received,0,0,0,,"0.883,0.492",gaze,,,,,
1779386331.8759,frame_sent,13495,8977,4502,,"0.883,0.492",gaze,465,143,175,200,11.0
1779386331.8946,gaze_received,0,0,0,,"0.879,0.469",gaze,,,,,
1779386331.9240,frame_sent,13776,9015,4745,,"0.879,0.469",gaze,462,154,178,200,27.7
1779386331.9282,gaze_received,0,0,0,,"0.875,0.446",gaze,,,,,
1779386331.9619,gaze_received,0,0,0,,"0.870,0.423",gaze,,,,,
1779386331.9758,frame_sent,13834,9001,4817,,"0.870,0.423",gaze,456,176,184,200,11.6
1779386331.9957,gaze_received,0,0,0,,"0.864,0.401",gaze,,,,,
1779386332.0270,frame_sent,14036,9023,4997,,"0.864,0.401",gaze,452,187,188,200,28.4
1779386332.0296,gaze_received,0,0,0,,"0.859,0.379",gaze,,,,,
1779386332.0634,gaze_received,0,0,0,,"0.852,0.357",gaze,,,,,
1779386332.0766,frame_sent,14419,8990,5413,,"0.852,0.357",gaze,445,208,195,200,11.6
1779386332.0971,gaze_received,0,0,0,,"0.846,0.336",gaze,,,,,
1779386332.1274,frame_sent,14419,9005,5398,,"0.846,0.336",gaze,441,218,199,200,29.2
