t,event,bytes_total,bytes_periph,bytes_fovea,cmd_received,gaze_uv,quality_mode,crop_x,crop_y,crop_w,crop_h,delta_ms
1779386202.4623,server_start,0,0,0,,,gaze-p15-f80,,,,,
1779386204.8528,gaze_received,0,0,0,,"0.499,0.499",gaze,,,,,
1779386204.8872,gaze_received,0,0,0,,"0.514,0.523",gaze,,,,,
1779386204.9209,gaze_received,0,0,0,,"0.527,0.546",gaze,,,,,
1779386204.9545,gaze_received,0,0,0,,"0.541,0.569",gaze,,,,,
1779386204.9884,gaze_received,0,0,0,,"0.554,0.591",gaze,,,,,
1779386205.0221,gaze_received,0,0,0,,"0.567,0.613",gaze,,,,,
1779386205.0563,gaze_received,0,0,0,,"0.581,0.635",gaze,,,,,
1779386205.0902,gaze_received,0,0,0,,"0.594,0.657",gaze,,,,,
1779386205.1238,gaze_received,0,0,0,,"0.607,0.678",gaze,,,,,
1779386205.1450,frame_sent,11923,8598,3309,,"0.607,0.678",gaze,288,54,200,200,-271.0
1779386205.1583,gaze_received,0,0,0,,"0.620,0.698",gaze,,,,,
1779386205.1583,frame_sent,11252,8490,2746,,"0.620,0.698",gaze,296,45,200,200,-13.3
1779386205.1924,gaze_received,0,0,0,,"0.633,0.718",gaze,,,,,
1779386205.1985,frame_sent,11026,8469,2541,,"0.633,0.718",gaze,304,35,200,200,3.8
1779386205.2263,gaze_received,0,0,0,,"0.646,0.737",gaze,,,,,
1779386205.2527,frame_sent,10898,8462,2420,,"0.646,0.737",gaze,313,26,200,200,21.9
1779386205.2599,gaze_received,0,0,0,,"0.658,0.755",gaze,,,,,
1779386205.2939,gaze_received,0,0,0,,"0.671,0.772",gaze,,,,,
1779386205.3001,frame_sent,10790,8467,2307,,"0.671,0.772",gaze,329,9,200,200,5.4
1779386205.3274,gaze_received,0,0,0,,"0.683,0.789",gaze,,,,,
1779386205.3531,frame_sent,10863,8496,2351,,"0.683,0.789",gaze,336,1,200,200,23.5
1779386205.3611,gaze_received,0,0,0,,"0.694,0.804",gaze,,,,,
1779386205.3951,gaze_received,0,0,0,,"0.706,0.818",gaze,,,,,
1779386205.4060,frame_sent,10707,8538,2153,,"0.706,0.818",gaze,351,0,200,187,6.8
1779386205.4291,gaze_received,0,0,0,,"0.718,0.832",gaze,,,,,
1779386205.4556,frame_sent,10766,8540,2210,,"0.718,0.832",gaze,359,0,200,180,24.1
1779386205.4629,gaze_received,0,0,0,,"0.729,0.844",gaze,,,,,
1779386205.4968,gaze_received,0,0,0,,"0.740,0.855",gaze,,,,,
1779386205.5076,frame_sent,10614,8506,2092,,"0.740,0.855",gaze,373,0,200,169,8.5
1779386205.5309,gaze_received,0,0,0,,"0.751,0.865",gaze,,,,,
1779386205.5585,frame_sent,10571,8470,2085,,"0.751,0.865",gaze,380,0,200,164,25.6
1779386205.5651,gaze_received,0,0,0,,"0.761,0.874",gaze,,,,,
1779386205.5994,gaze_received,0,0,0,,"0.771,0.882",gaze,,,,,
1779386205.6095,frame_sent,10500,8428,2056,,"0.771,0.882",gaze,393,0,200,156,8.5
1779386205.6336,gaze_received,0,0,0,,"0.781,0.888",gaze,,,,,
1779386205.6610,frame_sent,10424,8404,2004,,"0.781,0.888",gaze,399,0,200,153,25.5
1779386205.6675,gaze_received,0,0,0,,"0.791,0.893",gaze,,,,,
1779386205.7017,gaze_received,0,0,0,,"0.800,0.896",gaze,,,,,
1779386205.7116,frame_sent,10343,8388,1939,,"0.800,0.896",gaze,411,0,200,149,8.4
1779386205.7355,gaze_received,0,0,0,,"0.809,0.899",gaze,,,,,
1779386205.7634,frame_sent,10347,8331,2000,,"0.809,0.899",gaze,417,0,200,148,26.4
1779386205.7693,gaze_received,0,0,0,,"0.817,0.900",gaze,,,,,
1779386205.8034,gaze_received,0,0,0,,"0.825,0.899",gaze,,,,,
1779386205.8167,frame_sent,10295,8290,1989,,"0.825,0.899",gaze,427,0,200,148,11.2
1779386205.8376,gaze_received,0,0,0,,"0.833,0.897",gaze,,,,,
1779386205.8707,frame_sent,10302,8251,2035,,"0.833,0.897",gaze,433,0,200,149,28.8
1779386205.8714,gaze_received,0,0,0,,"0.840,0.894",gaze,,,,,
1779386205.9055,gaze_received,0,0,0,,"0.847,0.890",gaze,,,,,
1779386205.9205,frame_sent,10343,8271,2056,,"0.847,0.890",gaze,441,0,199,152,11.3
1779386205.9391,gaze_received,0,0,0,,"0.854,0.884",gaze,,,,,
1779386205.9696,frame_sent,10352,8257,2079,,"0.854,0.884",gaze,446,0,194,155,28.6
1779386205.9733,gaze_received,0,0,0,,"0.860,0.878",gaze,,,,,
1779386206.0076,gaze_received,0,0,0,,"0.866,0.869",gaze,,,,,
1779386206.0216,frame_sent,10397,8257,2124,,"0.866,0.869",gaze,454,0,186,162,12.0
1779386206.0414,gaze_received,0,0,0,,"0.871,0.860",gaze,,,,,
1779386206.0715,frame_sent,10478,8336,2126,,"0.871,0.860",gaze,457,0,183,167,28.5
1779386206.0751,gaze_received,0,0,0,,"0.876,0.849",gaze,,,,,
1779386206.1088,gaze_received,0,0,0,,"0.880,0.838",gaze,,,,,
1779386206.1273,frame_sent,10635,8337,2282,,"0.880,0.838",gaze,463,0,177,177,13.3
1779386206.1427,gaze_received,0,0,0,,"0.884,0.825",gaze,,,,,
1779386206.1775,gaze_received,0,0,0,,"0.887,0.811",gaze,,,,,
1779386206.1775,frame_sent,10539,8320,2203,,"0.884,0.825",gaze,465,0,175,184,31.7
1779386206.2109,gaze_received,0,0,0,,"0.891,0.796",gaze,,,,,
1779386206.2289,frame_sent,10710,8319,2375,,"0.891,0.796",gaze,470,0,170,198,13.8
1779386206.2451,gaze_received,0,0,0,,"0.893,0.779",gaze,,,,,
1779386206.2788,gaze_received,0,0,0,,"0.895,0.763",gaze,,,,,
1779386206.2839,frame_sent,10657,8341,2300,,"0.895,0.763",gaze,472,13,168,200,-1.8
1779386206.3125,gaze_received,0,0,0,,"0.897,0.745",gaze,,,,,
1779386206.3315,frame_sent,10635,8392,2227,,"0.897,0.745",gaze,474,22,166,200,15.8
1779386206.3464,gaze_received,0,0,0,,"0.898,0.726",gaze,,,,,
1779386206.3804,gaze_received,0,0,0,,"0.899,0.707",gaze,,,,,
1779386206.3840,frame_sent,10754,8426,2312,,"0.899,0.707",gaze,475,40,165,200,-1.1
1779386206.4141,gaze_received,0,0,0,,"0.900,0.687",gaze,,,,,
1779386206.4339,frame_sent,10789,8412,2361,,"0.900,0.687",gaze,475,50,165,200,15.9
1779386206.4477,gaze_received,0,0,0,,"0.899,0.667",gaze,,,,,
1779386206.4814,gaze_received,0,0,0,,"0.899,0.646",gaze,,,,,
1779386206.4833,frame_sent,10893,8433,2444,,"0.899,0.646",gaze,475,70,165,200,-1.1
1779386206.5155,gaze_received,0,0,0,,"0.898,0.624",gaze,,,,,
1779386206.5322,frame_sent,10963,8428,2519,,"0.898,0.624",gaze,474,80,166,200,15.0
1779386206.5491,gaze_received,0,0,0,,"0.896,0.602",gaze,,,,,
1779386206.5833,gaze_received,0,0,0,,"0.895,0.579",gaze,,,,,
