timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
2123.422,0.2954,1.0855,0.2125,-0.9795,-0.0690,0.1891,1.000,0.932,0.3070,1001.0890,0.2129,4.971,275.215,358.724,6.695,5.113,1,1
2123.441,0.2954,1.0855,0.2125,-0.9797,-0.0723,0.1868,1.000,0.933,0.3070,1001.0890,0.2131,4.969,275.219,358.681,6.785,5.177,1,1
2123.446,0.2955,1.0854,0.2128,-0.9798,-0.0769,0.1843,1.000,0.933,0.3071,1001.0890,0.2133,4.990,275.216,358.669,6.778,5.243,1,1
2123.456,0.2955,1.0853,0.2129,-0.9800,-0.0799,0.1821,1.000,0.934,0.3071,1001.0890,0.2135,5.011,275.217,358.639,6.746,5.263,1,1
2123.467,0.2956,1.0851,0.2132,-0.9799,-0.0882,0.1791,1.000,0.935,0.3071,1001.0890,0.2136,5.023,275.220,358.631,6.481,5.186,1,1
2123.485,0.2956,1.0851,0.2132,-0.9799,-0.0882,0.1791,1.000,0.935,0.3071,1001.0890,0.2137,5.063,275.226,358.602,6.481,5.186,1,1
2123.491,0.2956,1.0851,0.2133,-0.9797,-0.0913,0.1783,1.000,0.940,0.3072,1001.0890,0.2139,5.108,275.231,358.589,6.507,5.151,1,1
2123.501,0.2956,1.0850,0.2135,-0.9793,-0.0988,0.1768,1.000,0.943,0.3072,1001.0890,0.2139,5.129,275.234,358.554,6.614,5.173,1,1
2123.521,0.2956,1.0850,0.2136,-0.9785,-0.1063,0.1768,1.000,0.941,0.3072,1001.0890,0.2140,5.152,275.256,358.520,6.774,5.198,1,1
2123.539,0.2956,1.0850,0.2136,-0.9779,-0.1101,0.1778,1.000,0.938,0.3072,1001.0890,0.2141,5.161,275.280,358.490,6.878,5.198,1,1
