TrialID,Scenario,Condition,StartTime,EndTime,DurationSeconds,Success,Collisions,BlinkRatePerMin
1,Navigation,Foveated_90_5,18:22:02.773,18:22:48.070,45.30,1,0,1.89
2,Navigation,Foveated_90_5,18:25:06.371,18:26:16.035,69.67,1,0,0.00
3,Navigation,InverseFoveated_5_90,18:30:26.707,18:31:51.438,84.75,1,0,2.48
4,Navigation,InverseFoveated_5_90,18:34:42.529,18:35:56.036,73.51,1,0,0.00
5,Navigation,UniformQ50,18:39:14.428,18:41:20.177,125.75,1,0,0.37
6,Identification,Foveated_90_5,18:45:22.233,18:46:04.229,41.98,1,0,12.86
7,Identification,InverseFoveated_5_90,18:46:18.772,18:46:55.736,36.96,1,0,10.55
8,Identification,UniformQ50,18:47:10.112,18:47:43.472,33.36,1,0,10.79
9,Visual Search,Foveated_90_5,18:54:50.777,18:55:21.778,31.00,1,0,0.00
10,Visual Search,Foveated_90_5,18:55:23.031,18:56:41.469,78.44,1,0,0.38
