t,event,bytes_total,bytes_periph,bytes_fovea,cmd_received,gaze_uv,quality_mode,crop_x,crop_y,crop_w,crop_h,delta_ms
1779386577.8919,server_start,0,0,0,,,gaze-p20-f90,,,,,
1779386580.2782,gaze_received,0,0,0,,"0.499,0.499",gaze,,,,,
1779386580.3117,gaze_received,0,0,0,,"0.514,0.524",gaze,,,,,
1779386580.3456,gaze_received,0,0,0,,"0.528,0.547",gaze,,,,,
1779386580.3795,gaze_received,0,0,0,,"0.541,0.570",gaze,,,,,
1779386580.4136,gaze_received,0,0,0,,"0.555,0.593",gaze,,,,,
1779386580.4475,gaze_received,0,0,0,,"0.568,0.615",gaze,,,,,
1779386580.4816,gaze_received,0,0,0,,"0.582,0.637",gaze,,,,,
1779386580.5158,gaze_received,0,0,0,,"0.595,0.658",gaze,,,,,
1779386580.5497,gaze_received,0,0,0,,"0.608,0.679",gaze,,,,,
1779386580.5497,frame_sent,16744,11160,5568,,"0.595,0.658",gaze,280,64,200,200,-237.6
1779386580.5813,frame_sent,15782,10925,4841,,"0.608,0.679",gaze,288,54,200,200,0.0
1779386580.5834,gaze_received,0,0,0,,"0.621,0.699",gaze,,,,,
1779386580.6150,frame_sent,15205,10806,4383,,"0.621,0.699",gaze,297,44,200,200,17.9
1779386580.6172,gaze_received,0,0,0,,"0.634,0.719",gaze,,,,,
1779386580.6510,gaze_received,0,0,0,,"0.646,0.738",gaze,,,,,
1779386580.6542,frame_sent,14399,10748,3635,,"0.646,0.738",gaze,313,25,200,200,2.0
1779386580.6850,gaze_received,0,0,0,,"0.659,0.756",gaze,,,,,
1779386580.7091,frame_sent,14061,10714,3331,,"0.659,0.756",gaze,321,17,200,200,19.5
1779386580.7189,gaze_received,0,0,0,,"0.671,0.773",gaze,,,,,
1779386580.7526,gaze_received,0,0,0,,"0.683,0.789",gaze,,,,,
1779386580.7578,frame_sent,13699,10771,2912,,"0.683,0.789",gaze,336,1,200,200,2.8
1779386580.7863,gaze_received,0,0,0,,"0.695,0.805",gaze,,,,,
1779386580.8084,frame_sent,13181,10709,2456,,"0.695,0.805",gaze,344,0,200,193,19.2
1779386580.8198,gaze_received,0,0,0,,"0.707,0.819",gaze,,,,,
1779386580.8538,gaze_received,0,0,0,,"0.718,0.832",gaze,,,,,
1779386580.8588,frame_sent,13017,10667,2334,,"0.718,0.832",gaze,359,0,200,180,2.4
1779386580.8875,gaze_received,0,0,0,,"0.729,0.844",gaze,,,,,
1779386580.9097,frame_sent,12805,10642,2147,,"0.729,0.844",gaze,366,0,200,174,19.1
1779386580.9220,gaze_received,0,0,0,,"0.740,0.855",gaze,,,,,
1779386580.9554,gaze_received,0,0,0,,"0.751,0.866",gaze,,,,,
1779386580.9603,frame_sent,12859,10664,2179,,"0.751,0.866",gaze,380,0,200,164,1.6
1779386580.9894,gaze_received,0,0,0,,"0.761,0.874",gaze,,,,,
1779386581.0096,frame_sent,12819,10704,2099,,"0.761,0.874",gaze,386,0,200,160,18.9
1779386581.0233,gaze_received,0,0,0,,"0.772,0.882",gaze,,,,,
1779386581.0570,gaze_received,0,0,0,,"0.781,0.888",gaze,,,,,
1779386581.0608,frame_sent,12905,10704,2185,,"0.781,0.888",gaze,399,0,200,153,2.5
1779386581.0911,gaze_received,0,0,0,,"0.791,0.893",gaze,,,,,
1779386581.1126,frame_sent,12891,10710,2165,,"0.791,0.893",gaze,406,0,200,151,19.3
1779386581.1253,gaze_received,0,0,0,,"0.800,0.896",gaze,,,,,
1779386581.1592,gaze_received,0,0,0,,"0.809,0.899",gaze,,,,,
1779386581.1633,frame_sent,13025,10698,2311,,"0.809,0.899",gaze,417,0,200,148,2.8
1779386581.1932,gaze_received,0,0,0,,"0.817,0.900",gaze,,,,,
1779386581.2150,frame_sent,13080,10675,2389,,"0.817,0.900",gaze,422,0,200,148,20.5
1779386581.2271,gaze_received,0,0,0,,"0.825,0.899",gaze,,,,,
1779386581.2609,gaze_received,0,0,0,,"0.833,0.897",gaze,,,,,
1779386581.2707,frame_sent,13244,10701,2527,,"0.833,0.897",gaze,433,0,200,149,4.9
1779386581.2951,gaze_received,0,0,0,,"0.840,0.894",gaze,,,,,
1779386581.3198,frame_sent,13326,10680,2630,,"0.840,0.894",gaze,437,0,200,150,21.2
1779386581.3290,gaze_received,0,0,0,,"0.847,0.890",gaze,,,,,
1779386581.3626,gaze_received,0,0,0,,"0.854,0.884",gaze,,,,,
1779386581.3697,frame_sent,13433,10660,2757,,"0.854,0.884",gaze,446,0,194,155,4.4
1779386581.3964,gaze_received,0,0,0,,"0.860,0.878",gaze,,,,,
1779386581.4208,frame_sent,13365,10654,2695,,"0.860,0.878",gaze,450,0,190,158,21.0
1779386581.4303,gaze_received,0,0,0,,"0.865,0.869",gaze,,,,,
1779386581.4638,gaze_received,0,0,0,,"0.871,0.860",gaze,,,,,
1779386581.4708,frame_sent,13521,10641,2864,,"0.871,0.860",gaze,457,0,183,167,4.4
1779386581.4975,gaze_received,0,0,0,,"0.875,0.850",gaze,,,,,
1779386581.5207,frame_sent,13679,10658,3005,,"0.875,0.850",gaze,459,0,181,172,20.8
1779386581.5312,gaze_received,0,0,0,,"0.880,0.838",gaze,,,,,
1779386581.5647,gaze_received,0,0,0,,"0.884,0.825",gaze,,,,,
1779386581.5701,frame_sent,13747,10640,3091,,"0.884,0.825",gaze,465,0,175,184,4.2
1779386581.5988,gaze_received,0,0,0,,"0.887,0.811",gaze,,,,,
1779386581.6226,frame_sent,13837,10614,3207,,"0.887,0.811",gaze,467,0,173,190,22.2
1779386581.6328,gaze_received,0,0,0,,"0.890,0.796",gaze,,,,,
1779386581.6667,gaze_received,0,0,0,,"0.893,0.780",gaze,,,,,
1779386581.6743,frame_sent,13965,10630,3319,,"0.893,0.780",gaze,471,5,169,200,4.7
1779386581.7006,gaze_received,0,0,0,,"0.895,0.764",gaze,,,,,
1779386581.7255,frame_sent,14056,10608,3432,,"0.895,0.764",gaze,472,13,168,200,22.7
1779386581.7344,gaze_received,0,0,0,,"0.897,0.746",gaze,,,,,
1779386581.7684,gaze_received,0,0,0,,"0.898,0.727",gaze,,,,,
1779386581.7871,frame_sent,14073,10596,3461,,"0.898,0.727",gaze,474,31,166,200,6.7
1779386581.8021,gaze_received,0,0,0,,"0.899,0.708",gaze,,,,,
1779386581.8276,frame_sent,14254,10579,3659,,"0.899,0.708",gaze,475,40,165,200,23.7
1779386581.8361,gaze_received,0,0,0,,"0.900,0.688",gaze,,,,,
1779386581.8696,gaze_received,0,0,0,,"0.899,0.668",gaze,,,,,
1779386581.8812,frame_sent,14421,10577,3828,,"0.899,0.668",gaze,475,59,165,200,7.9
1779386581.9032,gaze_received,0,0,0,,"0.899,0.647",gaze,,,,,
1779386581.9307,frame_sent,14522,10573,3933,,"0.899,0.647",gaze,475,69,165,200,25.2
1779386581.9369,gaze_received,0,0,0,,"0.898,0.625",gaze,,,,,
1779386581.9706,gaze_received,0,0,0,,"0.897,0.603",gaze,,,,,
1779386581.9826,frame_sent,14754,10559,4179,,"0.897,0.603",gaze,474,90,166,200,8.2
1779386582.0044,gaze_received,0,0,0,,"0.895,0.581",gaze,,,,,
1779386582.0316,frame_sent,15069,10556,4497,,"0.895,0.581",gaze,472,101,168,200,24.8
1779386582.0382,gaze_received,0,0,0,,"0.892,0.558",gaze,,,,,
1779386582.0718,gaze_received,0,0,0,,"0.890,0.536",gaze,,,,,
1779386582.0821,frame_sent,15404,10550,4838,,"0.890,0.536",gaze,469,122,171,200,7.8
1779386582.1057,gaze_received,0,0,0,,"0.886,0.513",gaze,,,,,
1779386582.1321,frame_sent,15473,10563,4894,,"0.886,0.513",gaze,466,133,174,200,24.9
1779386582.1397,gaze_received,0,0,0,,"0.883,0.488",gaze,,,,,
1779386582.1733,gaze_received,0,0,0,,"0.879,0.466",gaze,,,,,
1779386582.1843,frame_sent,15847,10568,5263,,"0.879,0.466",gaze,462,156,178,200,8.7
1779386582.2069,gaze_received,0,0,0,,"0.874,0.443",gaze,,,,,
1779386582.2339,frame_sent,16023,10585,5422,,"0.874,0.443",gaze,459,167,181,200,25.7
1779386582.2406,gaze_received,0,0,0,,"0.869,0.420",gaze,,,,,
1779386582.2743,gaze_received,0,0,0,,"0.864,0.398",gaze,,,,,
1779386582.2851,frame_sent,16169,10554,5599,,"0.864,0.398",gaze,452,188,188,200,9.7
1779386582.3081,gaze_received,0,0,0,,"0.858,0.376",gaze,,,,,
1779386582.3364,frame_sent,16250,10560,5674,,"0.858,0.376",gaze,449,199,191,200,27.0
1779386582.3420,gaze_received,0,0,0,,"0.852,0.354",gaze,,,,,
1779386582.3758,gaze_received,0,0,0,,"0.845,0.333",gaze,,,,,
1779386582.3888,frame_sent,16746,10513,6217,,"0.845,0.333",gaze,440,220,200,200,10.5
1779386582.4096,gaze_received,0,0,0,,"0.838,0.313",gaze,,,,,
1779386582.4398,frame_sent,16566,10513,6037,,"0.838,0.313",gaze,436,229,200,200,27.3
1779386582.4433,gaze_received,0,0,0,,"0.831,0.293",gaze,,,,,
1779386582.4770,gaze_received,0,0,0,,"0.823,0.273",gaze,,,,,
1779386582.4907,frame_sent,16714,10532,6166,,"0.823,0.273",gaze,426,248,200,200,10.3
1779386582.5107,gaze_received,0,0,0,,"0.815,0.255",gaze,,,,,
1779386582.5415,frame_sent,16585,10532,6037,,"0.815,0.255",gaze,421,257,200,200,27.1
1779386582.5448,gaze_received,0,0,0,,"0.806,0.237",gaze,,,,,
1779386582.5787,gaze_received,0,0,0,,"0.797,0.220",gaze,,,,,
1779386582.5935,frame_sent,16454,10535,5903,,"0.797,0.220",gaze,409,274,200,200,10.6
1779386582.6123,gaze_received,0,0,0,,"0.788,0.204",gaze,,,,,
1779386582.6417,frame_sent,16406,10528,5862,,"0.788,0.204",gaze,404,281,200,199,27.7
1779386582.6463,gaze_received,0,0,0,,"0.779,0.189",gaze,,,,,
1779386582.6801,gaze_received,0,0,0,,"0.769,0.175",gaze,,,,,
1779386582.6956,frame_sent,16293,10580,5697,,"0.769,0.175",gaze,392,295,200,185,12.1
1779386582.7141,gaze_received,0,0,0,,"0.759,0.162",gaze,,,,,
1779386582.7444,frame_sent,15938,10552,5370,,"0.759,0.162",gaze,385,302,200,178,29.2
1779386582.7478,gaze_received,0,0,0,,"0.748,0.150",gaze,,,,,
1779386582.7814,gaze_received,0,0,0,,"0.737,0.140",gaze,,,,,
1779386582.7989,frame_sent,15727,10542,5169,,"0.737,0.140",gaze,371,312,200,168,13.0
1779386582.8155,gaze_received,0,0,0,,"0.726,0.130",gaze,,,,,
1779386582.8468,frame_sent,15521,10525,4980,,"0.726,0.130",gaze,364,317,200,163,29.7
1779386582.8496,gaze_received,0,0,0,,"0.715,0.122",gaze,,,,,
1779386582.8836,gaze_received,0,0,0,,"0.703,0.115",gaze,,,,,
1779386582.8998,frame_sent,15283,10551,4716,,"0.703,0.115",gaze,349,324,200,156,12.9
1779386582.9174,gaze_received,0,0,0,,"0.692,0.109",gaze,,,,,
1779386582.9498,frame_sent,15507,10546,4945,,"0.692,0.109",gaze,342,327,200,153,30.1
1779386582.9520,gaze_received,0,0,0,,"0.679,0.105",gaze,,,,,
1779386582.9855,gaze_received,0,0,0,,"0.667,0.102",gaze,,,,,
1779386583.0008,frame_sent,15626,10543,5067,,"0.667,0.102",gaze,326,330,200,150,13.1
1779386583.0195,gaze_received,0,0,0,,"0.655,0.100",gaze,,,,,
1779386583.0517,frame_sent,15846,10547,5283,,"0.655,0.100",gaze,318,331,200,149,29.9
1779386583.0532,gaze_received,0,0,0,,"0.642,0.099",gaze,,,,,
1779386583.0867,gaze_received,0,0,0,,"0.630,0.100",gaze,,,,,
1779386583.1020,frame_sent,16042,10529,5497,,"0.630,0.100",gaze,302,331,200,149,13.5
1779386583.1206,gaze_received,0,0,0,,"0.617,0.102",gaze,,,,,
1779386583.1553,gaze_received,0,0,0,,"0.604,0.106",gaze,,,,,
1779386583.1553,frame_sent,16123,10518,5589,,"0.617,0.102",gaze,294,330,200,150,32.0
1779386583.1882,gaze_received,0,0,0,,"0.591,0.111",gaze,,,,,
1779386583.2083,frame_sent,16351,10518,5817,,"0.591,0.111",gaze,277,326,200,154,16.3
1779386583.2223,gaze_received,0,0,0,,"0.578,0.117",gaze,,,,,
1779386583.2559,gaze_received,0,0,0,,"0.564,0.124",gaze,,,,,
1779386583.2565,frame_sent,16694,10474,6204,,"0.564,0.124",gaze,260,320,200,160,-0.9
1779386583.2898,gaze_received,0,0,0,,"0.551,0.133",gaze,,,,,
1779386583.3092,frame_sent,16752,10477,6259,,"0.551,0.133",gaze,252,316,200,164,16.4
1779386583.3236,gaze_received,0,0,0,,"0.538,0.142",gaze,,,,,
1779386583.3576,gaze_received,0,0,0,,"0.524,0.153",gaze,,,,,
1779386583.3608,frame_sent,16927,10455,6456,,"0.524,0.153",gaze,235,306,200,174,-0.7
1779386583.3913,gaze_received,0,0,0,,"0.511,0.165",gaze,,,,,
1779386583.4111,frame_sent,17019,10454,6549,,"0.511,0.165",gaze,226,300,200,180,16.1
1779386583.4253,gaze_received,0,0,0,,"0.496,0.179",gaze,,,,,
1779386583.4593,gaze_received,0,0,0,,"0.482,0.193",gaze,,,,,
1779386583.4631,frame_sent,17525,10474,7035,,"0.482,0.193",gaze,208,287,200,193,-0.4
1779386583.4938,gaze_received,0,0,0,,"0.469,0.209",gaze,,,,,
1779386583.5119,frame_sent,17757,10503,7238,,"0.469,0.209",gaze,200,279,200,200,15.7
