TrialID,Scenario,Condition,StartTime,EndTime,DurationSeconds,Success,Collisions,BlinkRatePerMin
2,Navigation,Foveated_90_5,19:31:20.313,19:34:17.959,177.65,1,0,2.87
3,Navigation,InverseFoveated_5_90,20:08:42.733,20:11:14.547,151.83,1,0,0.20
4,Navigation,UniformQ50,20:12:33.371,20:14:01.903,88.54,1,0,0.00
