timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
591.547,0.3308,1.0142,0.2105,-0.6566,0.2527,0.7106,1.000,1.000,0.3370,1001.0110,0.2068,330.904,317.144,1.399,4.077,4.862,1,1
591.557,0.3308,1.0142,0.2105,-0.6558,0.2519,0.7117,1.000,1.000,0.3370,1001.0110,0.2070,330.923,317.051,1.339,4.070,4.852,1,1
591.562,0.3308,1.0143,0.2105,-0.6570,0.2529,0.7102,1.000,1.000,0.3370,1001.0110,0.2070,330.897,317.026,1.263,4.052,4.835,1,1
591.580,0.3308,1.0143,0.2105,-0.6570,0.2529,0.7102,1.000,1.000,0.3370,1001.0110,0.2070,330.864,317.050,1.229,4.052,4.835,1,1
591.585,0.3309,1.0144,0.2106,-0.6589,0.2526,0.7085,1.000,1.000,0.3370,1001.0110,0.2071,330.893,316.923,1.239,4.046,4.829,1,1
591.591,0.3308,1.0145,0.2106,-0.6582,0.2535,0.7089,1.000,1.000,0.3370,1001.0120,0.2071,330.859,316.969,1.185,4.042,4.823,1,1
591.600,0.3308,1.0146,0.2107,-0.6589,0.2533,0.7083,1.000,1.000,0.3370,1001.0120,0.2072,330.841,316.896,1.151,4.041,4.819,1,1
591.611,0.3309,1.0147,0.2108,-0.6598,0.2547,0.7069,1.000,1.000,0.3370,1001.0120,0.2072,330.819,316.858,1.106,4.002,4.809,1,1
591.629,0.3309,1.0147,0.2109,-0.6601,0.2554,0.7064,1.000,1.000,0.3371,1001.0120,0.2073,330.803,316.779,1.075,3.975,4.797,1,1
591.648,0.3309,1.0147,0.2109,-0.6601,0.2554,0.7064,1.000,1.000,0.3371,1001.0120,0.2074,330.783,316.708,1.049,3.975,4.797,1,1
591.654,0.3309,1.0146,0.2109,-0.6616,0.2553,0.7051,1.000,1.000,0.3371,1001.0120,0.2075,330.802,316.603,1.055,3.968,4.795,1,1
591.659,0.3310,1.0146,0.2110,-0.6612,0.2556,0.7053,1.000,1.000,0.3371,1001.0120,0.2075,330.765,316.624,0.983,3.965,4.793,1,1
591.667,0.3309,1.0144,0.2111,-0.6617,0.2558,0.7048,1.000,1.000,0.3372,1001.0110,0.2075,330.780,316.593,0.971,3.974,4.796,1,1
591.684,0.3309,1.0144,0.2111,-0.6617,0.2558,0.7048,1.000,1.000,0.3371,1001.0110,0.2076,330.799,316.550,0.982,3.974,4.796,1,1
591.689,0.3310,1.0143,0.2111,-0.6624,0.2557,0.7041,1.000,1.000,0.3372,1001.0110,0.2076,330.827,316.500,0.990,3.972,4.799,1,1
591.700,0.3310,1.0142,0.2111,-0.6637,0.2559,0.7029,1.000,1.000,0.3372,1001.0110,0.2076,330.841,316.458,1.015,3.969,4.786,1,1
591.711,0.3311,1.0141,0.2112,-0.6654,0.2547,0.7017,1.000,1.000,0.3372,1001.0110,0.2077,330.885,316.414,1.051,3.942,4.759,1,1
591.728,0.3312,1.0139,0.2112,-0.6661,0.2535,0.7014,1.000,1.000,0.3373,1001.0110,0.2077,330.929,316.379,1.044,3.940,4.765,1,1
591.748,0.3312,1.0139,0.2112,-0.6661,0.2535,0.7014,1.000,1.000,0.3374,1001.0110,0.2078,330.994,316.355,1.069,3.940,4.765,1,1
591.753,0.3312,1.0138,0.2114,-0.6670,0.2516,0.7012,1.000,1.000,0.3374,1001.0110,0.2079,331.118,316.316,1.082,3.942,4.777,1,1
591.758,0.3313,1.0137,0.2114,-0.6673,0.2515,0.7010,1.000,1.000,0.3375,1001.0110,0.2079,331.141,316.333,0.984,3.952,4.786,1,1
591.767,0.3313,1.0135,0.2115,-0.6692,0.2508,0.6994,1.000,1.000,0.3375,1001.0110,0.2080,331.182,316.324,0.989,3.951,4.764,1,1
