t,event,bytes_total,bytes_periph,bytes_fovea,cmd_received,gaze_uv,quality_mode,crop_x,crop_y,crop_w,crop_h,delta_ms
1779386077.4014,server_start,0,0,0,,,gaze-p10-f90,,,,,
1779386079.7865,gaze_received,0,0,0,,"0.499,0.499",gaze,,,,,
1779386079.8205,gaze_received,0,0,0,,"0.514,0.523",gaze,,,,,
1779386079.8544,gaze_received,0,0,0,,"0.527,0.546",gaze,,,,,
1779386079.8880,gaze_received,0,0,0,,"0.541,0.569",gaze,,,,,
1779386079.9220,gaze_received,0,0,0,,"0.554,0.591",gaze,,,,,
1779386079.9558,gaze_received,0,0,0,,"0.567,0.613",gaze,,,,,
1779386079.9897,gaze_received,0,0,0,,"0.581,0.635",gaze,,,,,
1779386080.0235,gaze_received,0,0,0,,"0.594,0.657",gaze,,,,,
1779386080.0577,gaze_received,0,0,0,,"0.607,0.678",gaze,,,,,
1779386080.0738,frame_sent,12239,7235,4988,,"0.607,0.678",gaze,288,54,200,200,-271.2
1779386080.0917,gaze_received,0,0,0,,"0.620,0.698",gaze,,,,,
1779386080.0917,frame_sent,11594,7218,4360,,"0.607,0.678",gaze,288,54,200,200,16.1
1779386080.1255,gaze_received,0,0,0,,"0.633,0.718",gaze,,,,,
1779386080.1287,frame_sent,10960,7181,3763,,"0.633,0.718",gaze,304,35,200,200,-1.0
1779386080.1592,gaze_received,0,0,0,,"0.646,0.737",gaze,,,,,
1779386080.1777,frame_sent,10627,7167,3444,,"0.646,0.737",gaze,313,26,200,200,15.7
1779386080.1929,gaze_received,0,0,0,,"0.658,0.755",gaze,,,,,
1779386080.2271,gaze_received,0,0,0,,"0.670,0.772",gaze,,,,,
1779386080.2282,frame_sent,10348,7174,3158,,"0.670,0.772",gaze,328,9,200,200,-0.7
1779386080.2608,gaze_received,0,0,0,,"0.683,0.788",gaze,,,,,
1779386080.2806,frame_sent,10295,7183,3096,,"0.683,0.788",gaze,336,1,200,200,16.6
1779386080.2949,gaze_received,0,0,0,,"0.695,0.804",gaze,,,,,
1779386080.3288,gaze_received,0,0,0,,"0.706,0.818",gaze,,,,,
1779386080.3308,frame_sent,9862,7185,2661,,"0.706,0.818",gaze,351,0,200,187,-0.5
1779386080.3624,gaze_received,0,0,0,,"0.718,0.832",gaze,,,,,
1779386080.3798,frame_sent,10055,7152,2887,,"0.718,0.832",gaze,359,0,200,180,16.0
1779386080.3962,gaze_received,0,0,0,,"0.729,0.844",gaze,,,,,
1779386080.4307,gaze_received,0,0,0,,"0.740,0.855",gaze,,,,,
1779386080.4307,frame_sent,9980,7134,2830,,"0.729,0.844",gaze,366,0,200,174,33.2
1779386080.4645,gaze_received,0,0,0,,"0.751,0.865",gaze,,,,,
1779386080.4831,frame_sent,9996,7101,2879,,"0.751,0.865",gaze,380,0,200,164,16.5
